Liste de régions : crdo-NRU_F4_HOUSEBUILDING2_transcr.wav

Nom                                Début           Fin      Longueur
-------------------------- ------------- ------------- -------------
                            00:00:00,000  00:00:08,879  00:00:08,879
                            00:00:09,799  00:00:19,853  00:00:10,054
                            00:00:19,984  00:00:25,072  00:00:05,088
                            00:00:25,609  00:00:33,564  00:00:07,956
                            00:00:33,843  00:00:39,068  00:00:05,224
                            00:00:39,160  00:00:42,005  00:00:02,844
                            00:00:42,318  00:00:45,244  00:00:02,926
                            00:00:45,964  00:00:52,901  00:00:06,937
                            00:00:53,249  00:00:56,076  00:00:02,827
                            00:00:56,900  00:01:02,183  00:00:05,283
                            00:01:02,369  00:01:06,339  00:00:03,971
                            00:01:06,438  00:01:09,712  00:00:03,274
                            00:01:10,101  00:01:13,828  00:00:03,727
                            00:01:13,828  00:01:27,458  00:00:13,630
                            00:01:27,853  00:01:37,199  00:00:09,346
                            00:01:37,454  00:01:49,610  00:00:12,156
                            00:01:49,854  00:01:59,908  00:00:10,054
                            00:02:00,361  00:02:07,896  00:00:07,535
                            00:02:07,988  00:02:15,372  00:00:07,384
                            00:02:15,512  00:02:19,111  00:00:03,599
                            00:02:19,668  00:02:26,100  00:00:06,432
                            00:02:26,100  00:02:37,733  00:00:11,633
                            00:02:37,733  00:02:41,402  00:00:03,669
                            00:02:41,402  00:02:50,086  00:00:08,684
                            00:02:50,086  00:02:51,050  00:00:00,964
                            00:02:51,050  00:02:55,938  00:00:04,888
                            00:02:55,938  00:02:57,435  00:00:01,498
                            00:02:58,167  00:03:03,565  00:00:05,399
                            00:03:03,676  00:03:10,328  00:00:06,653
                            00:03:11,295  00:03:13,654  00:00:02,360
                            00:03:14,516  00:03:19,219  00:00:04,702
                            00:03:19,532  00:03:22,580  00:00:03,048
                            00:03:22,850  00:03:26,463  00:00:03,614
                            00:03:26,463  00:03:31,226  00:00:04,763
                            00:03:31,226  00:03:38,720  00:00:07,494
                            00:03:39,568  00:03:48,229  00:00:08,661
                            00:03:48,542  00:03:53,662  00:00:05,120
                            00:03:53,662  00:03:58,380  00:00:04,718
                            00:03:58,380  00:04:01,583  00:00:03,202
                            00:04:01,781  00:04:07,031  00:00:05,251
                            00:04:07,351  00:04:12,552  00:00:05,201
                            00:04:12,552  00:04:14,688  00:00:02,136
                            00:04:15,330  00:04:18,421  00:00:03,091
                            00:04:18,752  00:04:24,211  00:00:05,460
                            00:04:24,490  00:04:30,829  00:00:06,339
                            00:04:31,386  00:04:36,733  00:00:05,346
                            00:04:36,985  00:04:38,309  00:00:01,324
                            00:04:38,570  00:04:41,687  00:00:03,117
                            00:04:42,114  00:04:43,054  00:00:00,940
                            00:04:43,699  00:04:44,770  00:00:01,071
                            00:04:44,770  00:04:50,220  00:00:05,451
                            00:04:51,509  00:04:55,053  00:00:03,544
                            00:04:55,236  00:04:58,021  00:00:02,785
                            00:04:58,400  00:05:02,631  00:00:04,232
                            00:05:03,142  00:05:05,728  00:00:02,586
                            00:05:05,728  00:05:10,387  00:00:04,659
                            00:05:10,387  00:05:18,171  00:00:07,784
                            00:05:18,171  00:05:20,401  00:00:02,229
                            00:05:20,697  00:05:24,284  00:00:03,587
                            00:05:24,354  00:05:32,957  00:00:08,603
                            00:05:33,819  00:05:38,887  00:00:05,068
                            00:05:38,974  00:05:44,529  00:00:05,555
                            00:05:44,921  00:05:48,064  00:00:03,143
                            00:05:48,064  00:05:58,353  00:00:10,289
                            00:05:58,609  00:06:03,706  00:00:05,097
                            00:06:03,706  00:06:06,806  00:00:03,100
                            00:06:06,806  00:06:12,332  00:00:05,526
                            00:06:12,332  00:06:17,800  00:00:05,468
