Liste de régions : Tone_Peoples_1_F4_2006.wav

Nom                                Début           Fin      Longueur
d4+d2b_s_bande molletière tibétaine)  00:07:12,870  00:07:13,620  00:00:00,750
d4+d2b_s_bande molletière tibétaine_détachant les syllabes  00:07:22,475  00:07:23,804  00:00:01,329
d4+d2b_s_bande molletière tibétaine_deux dernières syllabes  00:07:09,010  00:07:11,123  00:00:02,113
d4+d2b_s_tuile tibétaine    00:16:00,544  00:16:01,321  00:00:00,777
d4+d2b_s_tuile tibétaine    00:16:03,948  00:16:04,958  00:00:01,010
d4+d3_s_coeur tibétain      00:18:19,762  00:18:20,888  00:00:01,126
d4+d3_s_couteau tibétain    00:09:36,677  00:09:38,140  00:00:01,462
d4+d3_a_vêtement tibétain)  00:03:46,243  00:03:47,091  00:00:00,847
d4+d3_s_vêtement tibétain   00:03:37,454  00:03:38,639  00:00:01,184
d4+d3_s_vêtement tibétain   00:03:41,750  00:03:42,749  00:00:00,998
d4+d3_s_vêtement tibétain   00:03:49,401  00:03:49,993  00:00:00,592
d4+d4_a_ambre tibétain      00:02:16,719  00:02:18,263  00:00:01,544
d4+d4_s_ambre tibétain      00:01:59,745  00:02:00,743  00:00:00,998
d4+d4_s_ambre tibétain      00:02:06,001  00:02:06,685  00:00:00,683
d4+d4_s_ambre tibétain)     00:02:09,602  00:02:10,287  00:00:00,684
d4+d4_s_ambre tibétain_attention_simple juxtaposition  00:02:01,927  00:02:04,517  00:00:02,589
d4+d4_s_sanctuaire tibétain  00:29:11,367  00:29:13,202  00:00:01,834
d4+d4_s_sanctuaire tibétain)  00:29:15,454  00:29:17,416  00:00:01,962
d4+d5a_a_anneau tibétain    00:05:04,352  00:05:05,412  00:00:01,059
d4+d5a_a_anneau tibétain_erreur  00:05:08,680  00:05:09,661  00:00:00,981
d4+d5a_s_anneau tibétain    00:05:11,124  00:05:12,726  00:00:01,602
d4+d5a_s_tapis de selle tibétain  00:14:10,937  00:14:12,446  00:00:01,509
d4+d5b_s_tabouret tibétain  00:13:12,898  00:13:13,978  00:00:01,079
d4+d5b_s_tabouret tibétain  00:13:17,740  00:13:19,063  00:00:01,323
d4+d7_s_boucle d'oreille tibétaine  00:11:07,270  00:11:08,396  00:00:01,126
d4+d7_s_briquet tibétain    00:12:06,399  00:12:07,595  00:00:01,195
d4+d7_s_col d'argent tibétain  00:11:47,777  00:11:49,124  00:00:01,346
d4+d7_s_turban tibétain     00:11:30,919  00:11:33,799  00:00:02,879
d5b+m1_s_bol naxi           00:16:35,597  00:16:36,723  00:00:01,126
d5b+m2_s_champ naxi         00:16:13,886  00:16:14,618  00:00:00,731
d5b+m4a_s_sang naxi         00:17:04,970  00:17:05,876  00:00:00,905
