Liste de régions : crdo-NRU_F4_COORDINATIVE_COMPOUNDS.wav

Nom																Début					 Fin			Longueur
yak mâle et yak femelle_variante L_détachant les syllabes	00:05:02,544	00:05:03,786	00:00:01,242
faucon mâle et femelle_L		00:05:06,155	00:05:07,792	00:00:01,636
faucon mâle et femelle_L		00:05:12,456	00:05:13,712	00:00:01,256
faucon mâle et femelle_H sur 3e syllabe	00:05:16,636	00:05:17,753	00:00:01,116
lézard mâle et femelle			00:05:18,676	00:05:20,330	00:00:01,654
lézard mâle et femelle_variante L	00:05:21,462	00:05:22,803	00:00:01,340
frères et soeurs						00:05:24,092	00:05:25,520	00:00:01,428
jument et poulain					 00:05:26,878	00:05:28,585	00:00:01,706
vache et veau							 00:06:14,770	00:06:16,140	00:00:01,369
vache et veau, sans changement tonal/coordination	00:06:17,115	00:06:18,578	00:00:01,462
vache et veau							 00:06:24,359	00:06:25,683	00:00:01,323
neveux et nièces						00:06:27,517	00:06:28,841	00:00:01,323
neveux et nièces						00:06:29,729	00:06:31,156	00:00:01,427
taureau et vache						00:06:32,846	00:06:34,274	00:00:01,428
grenouille femelle et grenouille mâle	00:06:36,120	00:06:37,479	00:00:01,358
hyène femelle et petite hyène	00:06:38,820	00:06:40,248	00:00:01,427
étalon, poulain (sans coordination)	00:06:41,867	00:06:43,382	00:00:01,515
étalon et poulain					 00:06:49,669	00:06:50,731	00:00:01,062
étalon et poulain					 00:06:52,299	00:06:53,483	00:00:01,184
étalon et jument						00:06:56,950	00:06:58,535	00:00:01,585
maisonnée									 00:07:00,571	00:07:01,982	00:00:01,410
peignes										 00:07:03,758	00:07:04,820	00:00:01,062
têtard											00:07:06,788	00:07:07,990	00:00:01,201
poule et coq								00:07:09,244	00:07:10,619	00:00:01,375
poule et poussins					 00:07:11,839	00:07:13,232	00:00:01,393
truie et porcelets					00:07:14,764	00:07:15,983	00:00:01,219
panthère mâle et femelle		00:07:18,079	00:07:19,553	00:00:01,474
belette femelle et belette mâle	00:07:22,166	00:07:23,594	00:00:01,427
oie mâle et oie femelle		 00:07:25,561	00:07:26,937	00:00:01,375
mule mâle et mule femelle	 00:07:28,365	00:07:30,002	00:00:01,637
coq et poule								00:07:30,980	00:07:32,347	00:00:01,367
