Liste de régions : crdo-NRU_F4_TONETUTORIAL_PART2.wav

Nom                                Début           Fin      Longueur
-------------------------- ------------- ------------- -------------
                            00:08:14,666  00:08:16,292  00:00:01,625
                            00:08:19,125  00:08:20,564  00:00:01,440
                            00:08:25,440  00:08:27,066  00:00:01,625
                            00:08:32,395  00:08:33,805  00:00:01,411
                            00:08:36,801  00:08:37,915  00:00:01,115
                            00:08:40,353  00:08:41,781  00:00:01,428
                            00:08:46,483  00:08:48,033  00:00:01,550
                            00:08:52,317  00:08:53,798  00:00:01,480
                            00:08:58,117  00:08:59,719  00:00:01,602
                            00:09:08,113  00:09:09,872  00:00:01,759
                            00:09:14,086  00:09:15,688  00:00:01,602
                            00:09:20,390  00:09:21,871  00:00:01,480
                            00:09:29,098  00:09:30,596  00:00:01,498
                            00:09:34,775  00:09:35,954  00:00:01,811
                            00:09:42,066  00:09:43,738  00:00:01,672
                            00:09:46,315  00:09:47,848  00:00:01,533
                            00:09:50,472  00:09:52,213  00:00:01,741
